time,counts
2016-11-09 04:01:00,281
2016-11-09 04:02:00,251
2016-11-09 04:03:00,311
2016-11-09 04:04:00,278
2016-11-09 04:05:00,350
2016-11-09 04:06:00,290
2016-11-09 04:07:00,384
2016-11-09 04:08:00,386
2016-11-09 04:09:00,340
2016-11-09 04:10:00,254
2016-11-09 04:11:00,264
2016-11-09 04:12:00,328
2016-11-09 04:13:00,214
2016-11-09 04:14:00,325
2016-11-09 04:15:00,281
2016-11-09 04:16:00,338
2016-11-09 04:17:00,373
2016-11-09 04:18:00,293
2016-11-09 04:19:00,317
2016-11-09 04:20:00,357
2016-11-09 04:21:00,336
2016-11-09 04:22:00,402
2016-11-09 04:23:00,353
2016-11-09 04:24:00,391
2016-11-09 04:25:00,374
2016-11-09 04:26:00,380
2016-11-09 04:27:00,326
2016-11-09 04:28:00,408
2016-11-09 04:29:00,275
2016-11-09 04:30:00,359
2016-11-09 04:31:00,202
2016-11-09 04:32:00,312
2016-11-09 04:33:00,310
2016-11-09 04:34:00,319
2016-11-09 04:35:00,332
2016-11-09 04:36:00,278
2016-11-09 04:37:00,417
2016-11-09 04:38:00,336
2016-11-09 04:39:00,338
2016-11-09 04:40:00,360
2016-11-09 04:41:00,328
2016-11-09 04:42:00,309
2016-11-09 04:43:00,264
2016-11-09 04:44:00,322
2016-11-09 04:45:00,437
2016-11-09 04:46:00,318
2016-11-09 04:47:00,385
2016-11-09 04:48:00,236
2016-11-09 04:49:00,375
2016-11-09 04:50:00,294
2016-11-09 04:51:00,263
2016-11-09 04:52:00,262
2016-11-09 04:53:00,333
2016-11-09 04:54:00,319
2016-11-09 04:55:00,375
2016-11-09 04:56:00,384
2016-11-09 04:57:00,337
2016-11-09 04:58:00,368
2016-11-09 04:59:00,323
